S.No.,District,Location,Latitude,Longitude,pH,EC,TDS,TH,Ca,Mg,Na,K,"CO
3","HCO
3",Cl,"SO
4","NO
3",F,U,SAR,RSC
67,Akola,Sasti,20.508,76.833,7.61,1516,970,510,102,62,105,9.1,0,519,149,61,100,0.86,1.17,2.03,-1.7
68,Akola,Majhari,20.59,76.922,7.32,1057,676,390,100,34,70,5.9,0,439,85,35,101,0.72,0.69,1.54,-0.6
69,Akola,Murtizapur,20.733,77.367,7.5,1126,721,570,158,43,39,4,0,555,117,64,12,0.73,0.45,0.7,-2.3
70,Akola,Patur,20.45,76.933,7.24,790,506,320,62,40,32,1.7,0,397,32,18,21,0.66,0.14,0.78,0.1
71,Akola,Patsul,20.986,77.018,7.83,1993,1276,360,38,64,305,5.5,0,885,145,125,58,0.91,2.85,6.98,7.3
72,Akola,Wadegaon,20.469,77.068,7.56,3403,2178,1070,126,183,309,9.4,0,629,542,299,204,0.74,2.15,4.11,-11.1
73,Akola,Barshi Takli,20.583,77.067,7.59,1268,812,520,116,56,50,9.8,0,537,106,55,7,0.75,1.78,0.95,-1.6
74,Akola,Akola,20.737,77.002,7.66,7899,5055,2005,251,335,892,2.9,0,580,1524,1155,105,0.79,9.87,8.67,-30.6
75,Akola,Ural,20.807,76.825,7.74,1455,931,505,112,55,102,8.5,0,561,124,122,52,0.78,1.23,1.98,-0.9
76,Akola,Popetkheda,21.208,77.079,7.81,701,449,270,70,23,42,2.7,0,384,21,18,3,0.79,0,1.12,0.9
77,Akola,Andura1,20.883,76.853,7.83,5203,3330,870,198,91,776,23.1,0,732,936,820,20,0.69,8.77,11.44,-5.4
78,Akola,Mahan-1,20.495,77.152,7.79,781,500,285,78,22,34,1.2,0,336,35,29,25,0.7,0.19,0.88,-0.2
79,Akola,Panaj,21.144,77.136,7.64,2305,1475,775,124,113,118,9.9,0,519,245,71,310,0.45,1.86,1.85,-7
80,Akola,Donad,20.561,77.178,7.81,1243,796,470,58,79,70,0.8,0,525,64,23,97,0.63,0.43,1.4,-0.8
81,Akola,Hatola,20.506,77.204,7.6,744,476,315,86,24,28,3.1,0,293,57,35,67,0.54,0.22,0.69,-1.5
82,Akola,Ambashi,20.457,76.859,7.73,749,479,300,84,22,44,0.5,0,366,43,28,53,0.82,0.28,1.11,0
83,Akola,Alegaon,20.41,76.853,7.68,591,378,260,80,15,19,0.4,0,336,21,14,5,0.62,0,0.51,0.3
84,Amravati,Mahuli,20.733,77.767,7.63,1057,676,350,100,24,74,6.7,0,305,121,64,47,0.42,1.32,1.71,-2
85,Amravati,Warud,21.467,78.267,7.62,1183,757,450,112,41,59,0.4,0,397,85,71,47,0.43,2.33,1.21,-2.5
86,Amravati,Sendurjana,20.683,78.1,7.63,826,529,325,78,32,41,1.9,0,330,50,36,45,0.5,0.96,0.98,-1.1
87,Amravati,Pohra,20.886,77.875,7.57,808,517,350,76,39,25,0.8,0,403,18,24,23,0.35,0.84,0.59,-0.4
88,Amravati,Kurha,20.933,78.05,7.71,836,535,325,66,39,46,0.5,0,256,82,46,46,0.39,0.88,1.1,-2.3
89,Amravati,Chandur Railway,20.817,77.967,7.78,1234,790,425,50,73,84,10,0,360,124,88,47,0.44,1.18,1.78,-2.6
90,Amravati,Teosa,21.084,78.068,7.74,892,571,325,78,32,59,1.5,0,214,110,65,48,0.18,0.52,1.43,-3
91,Amravati,Devgaon,20.683,78.151,7.61,686,439,255,52,30,33,0.9,0,207,64,45,8,0.36,0.59,0.89,-1.7
92,Amravati,Chicholi,21.36,77.944,7.68,1487,952,520,120,53,99,13.3,0,403,191,89,48,0.53,1.16,1.88,-3.8
93,Amravati,Khanapur,21.315,77.954,7.82,1684,1078,425,110,36,147,66.2,0,476,238,84,48,0.37,2.47,3.1,-0.7
94,Amravati,Ashtagaon,21.308,77.925,7.76,1042,667,350,100,24,52,10.8,0,238,110,67,48,0.53,2.12,1.2,-3.1
95,Amravati,Saiwada,21.332,77.869,7.78,1168,748,460,110,45,62,2.9,0,354,121,75,48,0.51,1.7,1.25,-3.4
96,Amravati,Pimpri,21.361,77.868,7.8,659,422,190,40,22,39,19.9,0,226,50,48,9,0.49,0.22,1.23,-0.1
97,Amravati,Pala,21.386,78,7.83,1249,799,350,82,35,102,2.7,0,305,170,60,48,0.55,1.78,2.38,-2
98,Amravati,Hiwarkheda,21.393,78.084,7.8,1042,667,360,78,40,50,1.7,0,275,92,51,43,0.35,0.86,1.14,-2.7
99,Amravati,Loni,21.376,78.19,7.69,1570,1005,640,70,113,83,0.9,0,506,188,77,48,0.27,2.71,1.43,-4.5
100,Amravati,Anjansingi,20.917,78.135,7.78,1180,755,250,60,24,87,90.2,0,348,103,61,48,0.22,0.77,2.4,0.7
101,Amravati,Sirasgaon (Kasba),21.328,77.683,7.82,564,361,220,50,23,23,0.9,0,232,18,23,25,0.2,0.15,0.67,-0.6
102,Amravati,Dapori1,21.383,78.051,7.77,1124,719,370,80,41,80,1.4,0,348,103,50,48,0.48,1.37,1.81,-1.7
103,Amravati,Temburkheda1,21.497,78.239,7.8,1297,830,535,150,39,45,0.4,0,372,131,80,47,0.51,1.33,0.84,-4.6
104,Amravati,Shivni1,20.631,77.852,7.83,1161,743,250,52,29,69,96,0,287,149,54,48,0.3,1.09,1.9,-0.3
105,Amravati,Belteki,20.755,77.926,7.88,854,547,325,70,36,49,0.6,0,366,39,33,48,0.41,1.36,1.19,-0.5
106,Amravati,Amner_old,21.392,78.401,8,1233,789,445,100,47,84,1.4,0,610,78,17,29,0.27,2.31,1.72,1.1
107,Amravati,Chandas,21.437,78.344,7.73,2127,1361,840,140,119,91,1.5,0,409,464,82,50,0.33,7.41,1.37,-10.1
108,Amravati,Umerkhed,21.422,78.1,7.93,819,524,300,66,33,50,5,0,311,53,44,33,0.51,0.66,1.26,-0.9
109,Amravati,Ghatlarki,21.334,77.808,7.8,809,518,310,64,36,42,0.4,0,207,110,38,48,0.39,0.51,1.05,-2.8
110,Amravati,Wadala Fatehpur,20.665,77.713,7.55,766,490,300,68,32,31,0.7,0,122,156,51,25,0.25,0.51,0.77,-4
111,Amravati,Walgaon,21.017,77.7,8.13,2798,1791,430,76,58,395,13.1,0,1056,291,50,47,0.54,7.45,8.28,8.7
112,Amravati,Chandur Bazar,21.233,77.733,7.99,1208,773,340,74,38,117,0.3,0,549,85,42,30,0.43,1.08,2.76,2.2
113,Amravati,Silona,21.433,77.417,7.7,451,289,200,44,22,12,0.5,0,195,14,16,25,0.34,0.12,0.38,-0.8
114,Amravati,Chunkhedi,21.567,77.417,7.6,418,267,170,28,24,9,0.6,0,195,14,7,2,0.18,0,0.3,-0.2
115,Amravati,Rithpur,21.242,77.817,7.67,1524,975,400,90,43,135,3,0,171,333,52,49,0.67,5.78,2.93,-5.2
116,Amravati,Bhokarbardi,21.514,76.781,7.9,947,606,190,50,16,105,1.2,0,427,32,23,39,0.59,1.34,3.32,3.2
117,Amravati,Kolkaz,21.5,77.204,7.62,405,259,175,40,18,10,0.5,0,183,21,10,2,0.25,0,0.31,-0.5
118,Amravati,Lawada,21.533,77.033,7.83,581,372,250,52,29,13,0.5,0,171,64,21,23,0.22,0,0.35,-2.2
119,Amravati,Nimbhari,21.05,77.313,8.14,2854,1827,345,80,35,426,4.4,0,1080,277,46,50,1.22,17.01,9.97,10.8
120,Amravati,Pathrot-2,21.214,77.365,7.59,1020,653,450,96,51,33,1.2,0,183,199,48,50,0.27,2.33,0.68,-6
121,Amravati,Samda Kasmpur,20.927,77.263,7.78,3034,1942,410,100,39,399,1.7,0,214,780,41,49,0.29,4.81,8.56,-4.7
122,Amravati,Brahmanwada (Thadi),21.321,77.736,7.81,673,431,225,30,36,38,1.2,0,256,32,28,27,0.26,0.16,1.1,-0.3
123,Amravati,Kharapi,21.338,77.571,7.73,647,414,270,48,36,23,0.4,0,262,32,28,41,0.27,0.31,0.6,-1.1
124,Amravati,Yevda,20.995,77.459,7.92,6284,4022,650,92,102,1155,5.6,0,781,1560,47,50,0.2,3.31,19.7,-0.2
125,Amravati,Lontek-1,20.908,77.707,8.09,1363,872,335,60,45,146,0.5,0,506,103,56,49,0.86,3.79,3.46,1.6
126,Amravati,Mozari,21.051,78.001,7.76,827,529,290,50,40,61,0.5,0,256,103,40,49,0.53,1.45,1.57,-1.6
127,Amravati,Amravati_University,20.937,77.804,7.97,616,394,225,50,24,18,0.7,0,262,21,21,3,0.34,0,0.51,-0.2
128,Amravati,karaigaon,21.408,77.202,7.87,669,428,250,40,36,26,0.3,0,256,35,20,39,0.27,0.2,0.73,-0.8
129,Amravati,chikhaldara,21.404,77.33,7.67,505,323,210,48,22,12,0.3,0,153,43,31,43,0.18,0,0.37,-1.7
130,Amravati,Dhamni,21.354,77.441,7.75,500,320,210,34,30,15,0.2,0,214,21,29,15,0.25,0.07,0.44,-0.7
131,Amravati,Khandukheda,21.577,77.45,7.81,381,244,175,40,18,10,0.3,0,214,4,11,2,0.2,0,0.33,0
132,Amravati,Shignapur,20.952,77.498,8.23,1640,1050,425,100,43,179,1.1,0,610,202,48,31,0.37,4.19,3.77,1.5
133,Aurangabad,Patri,20.118,75.467,7.39,1510,966,525,102,66,86,37.9,0,336,216,85,82,0.53,2.07,1.64,-5
134,Aurangabad,Rotegaon,19.917,74.75,8.01,835,535,355,58,51,40,1.8,0,348,67,81,6,0.39,0.17,0.92,-1.4
135,Aurangabad,Kannad,20.267,75.133,7.44,1505,963,595,100,84,64,0.7,0,305,252,65,85,0.38,1.36,1.15,-6.9
136,Aurangabad,Tunki,20.133,74.85,7.76,8173,5231,1720,190,303,1123,5.2,0,580,1702,852,89,0.66,7.77,11.77,-24.9
137,Aurangabad,Walur Tanda,20.083,75.15,7.97,1780,1139,460,60,75,201,1.4,0,629,138,78,81,1.24,1.96,4.07,1.1
138,Aurangabad,Kaigaon,20.167,75.633,7.61,1096,701,370,62,52,53,25.6,0,336,96,64,78,0.61,0.43,1.2,-1.9
139,Aurangabad,Chauka,20.017,75.394,7.59,1009,646,310,56,41,53,45.7,0,360,78,54,54,0.5,0.51,1.31,-0.3
140,Aurangabad,Kinnal,20.003,75.067,7.52,1403,898,510,94,67,91,0.8,0,281,156,198,53,0.59,2.79,1.76,-5.6
141,Aurangabad,Khuldabad,20,75.192,7.89,1457,932,490,60,83,96,1.3,0,555,124,47,65,0.56,1.58,1.88,-0.7
142,Aurangabad,Devgaon-1,20.035,75.035,7.7,1354,867,460,76,66,81,1.2,0,287,181,100,67,0.43,1.18,1.64,-4.5
143,Aurangabad,Gangapur-3,19.699,75.001,7.45,1633,1045,545,104,69,99,1.3,0,336,188,170,60,0.34,1.77,1.84,-5.4
144,Aurangabad,Garaj,20.056,74.894,7.6,1250,800,450,72,66,48,1.5,0,214,170,83,60,0.39,0.76,0.98,-5.5
145,Aurangabad,Vaijapur,19.932,74.711,7.78,852,545,300,52,41,54,1.2,0,305,99,45,11,0.69,0,1.36,-1
146,Aurangabad,Hasta,20.291,75.272,7.77,885,566,345,54,51,24,0.7,0,287,60,35,78,0.54,0,0.56,-2.2
147,Aurangabad,Taherpur,19.651,75.335,7.76,3339,2137,780,84,139,405,1.7,0,543,482,360,80,0.81,1.42,6.3,-6.7
148,Aurangabad,Dawarwadi,19.532,75.507,7.99,1062,680,310,38,52,85,0.5,0,354,106,60,24,0.58,0.54,2.11,-0.4
149,Aurangabad,Shendra,19.868,75.471,7.63,2432,1556,760,118,113,182,1.8,0,445,386,205,66,0.63,2.54,2.86,-7.9
150,Aurangabad,Abad Vidhyapeeth,19.903,75.313,7.64,1428,914,485,68,77,92,1.1,0,500,199,32,9,0.54,0.47,1.82,-1.5
151,Aurangabad,Waghalgaon,19.848,74.831,7.74,1253,802,500,78,74,53,0.6,0,317,135,68,66,0.59,0.42,1.02,-4.8
152,Aurangabad,Dahegaon Bangla,19.731,75.119,7.78,824,527,310,54,43,30,0.8,0,268,60,48,60,0.53,0,0.75,-1.8
153,Aurangabad,Golegaon Budruk,20.456,75.71,7.82,1664,1065,550,64,95,75,2.5,0,378,199,69,85,0.56,1.21,1.39,-4.8
154,Aurangabad,Abad PES polytec,19.889,75.312,7.53,1163,744,365,60,52,95,1.8,0,378,135,66,36,0.45,0.28,2.16,-1.1
155,Aurangabad,Abad Police HQ,19.886,75.315,7.77,1177,753,325,52,47,99,3.7,0,323,124,74,61,0.49,3.52,2.39,-1.2
156,Aurangabad,Abad PWD RH,19.885,75.337,7.92,948,606,260,54,30,66,6.2,0,317,99,25,15,0.48,0.25,1.79,0
157,Aurangabad,Pachud-1,19.583,75.633,7.56,958,613,350,64,46,48,1.2,0,323,82,65,46,0.58,0.74,1.12,-1.7
158,Aurangabad,Paithan-1,19.49,75.396,7.8,1458,933,400,52,66,147,1,0,378,181,145,10,0.53,1.16,3.19,-1.8
159,Aurangabad,Bharadi,20.356,75.562,7.65,999,639,395,64,57,36,0.7,0,183,142,81,66,0.55,2.18,0.78,-4.9
160,Aurangabad,Aalandh,20.341,75.934,7.79,982,628,360,62,50,34,1.8,0,305,64,62,68,0.57,0.53,0.77,-2.2
161,Aurangabad,"Panchakki-Aurangabad
City",19.888,75.315,7.59,1118,716,315,54,44,103,4.2,0,360,131,58,20,0.44,0.22,2.53,-0.4
162,Aurangabad,"Aurangabad City-Bibi
Ka Makbara",19.9,75.323,7.52,1289,825,445,66,68,74,1.8,0,384,128,123,32,0.65,1.02,1.53,-2.6
163,Aurangabad,Daulatabad Fort,19.947,75.221,7.74,835,534,260,40,39,59,13.8,0,397,43,40,14,0.47,0,1.6,1.3
164,Aurangabad,Hatnur1,20.17,75.132,7.59,1123,719,395,54,63,49,0.7,0,268,103,84,64,0.52,0.95,1.07,-3.5
165,Aurangabad,Varkhed (Rajanggaon),19.772,74.912,7.94,699,447,290,46,43,27,0.5,0,262,39,39,60,0.51,0.02,0.68,-1.5
166,Aurangabad,Ajanta,20.542,75.742,7.72,1664,1065,475,52,84,99,60.3,0,549,160,70,60,0.38,0.75,1.97,-0.5
167,Aurangabad,Jangla Tanda-1,20.583,75.673,7.73,1324,847,440,50,77,65,8.7,0,366,135,73,52,0.49,1.04,1.35,-2.8
168,Aurangabad,Fardapur-1,20.593,75.708,7.64,953,610,365,58,53,42,1.1,0,305,85,60,51,0.46,0.1,0.96,-2.3
169,Aurangabad,Soyegaon-1,20.591,75.621,7.54,1286,823,485,64,79,52,4.6,0,470,110,57,48,0.57,0.68,1.02,-2
170,Beed,Ambejogai,18.733,76.4,7.53,1078,690,245,52,28,107,3.2,0,244,92,166,21,0.77,0,2.97,-0.9
171,Beed,Umapur,19.283,75.6,7.51,713,456,260,48,34,44,0.9,0,305,21,36,80,1.14,0,1.2,-0.2
172,Beed,Kumbhephal,18.717,76.133,7.23,1315,842,445,80,60,50,2.8,0,299,142,85,77,0.53,0.31,1.03,-4
173,Beed,Kanerwadi,18.833,76.483,7.88,539,345,195,40,23,29,12.6,0,244,28,36,11,0.57,0,0.89,0.1
174,Beed,Manur,19.067,75.317,7.36,9776,6257,3100,1062,109,427,305.8,0,1111,1822,439,92,0.66,8.38,3.33,-43.8
175,Beed,Pithi,18.933,75.633,7.95,2213,1416,445,104,45,159,165.8,0,824,245,58,25,0.57,0.94,3.27,4.6
176,Beed,Pimpalwandi,18.933,75.358,7.98,898,575,320,52,46,45,2,0,348,67,55,18,0.93,0,1.1,-0.7
177,Beed,Telgaon,18.983,76.183,7.9,791,506,280,88,15,49,7.3,0,293,71,64,7,0.71,0,1.27,-0.8
178,Beed,Daskhed,18.767,75.558,7.82,598,383,210,42,26,34,1.2,0,183,39,43,69,0.69,0.03,1.03,-1.2
179,Beed,Doithana,18.95,75.2,8.06,676,432,260,34,43,31,1.2,0,317,39,24,5,0.89,0,0.84,0
180,Beed,Mauj,18.967,75.883,7.69,1148,735,345,40,60,74,1.4,0,336,74,84,87,1.05,0.16,1.73,-1.4
181,Beed,Wadwani,18.983,76.033,8.07,1723,1103,420,60,66,138,54.2,0,610,138,83,80,1,0.05,2.94,1.6
182,Beed,Sirsala,18.983,76.383,7.83,2872,1838,935,80,179,101,99,0,751,220,227,28,0.61,2.67,1.44,-6.4
183,Beed,Kolegaon,19.178,75.632,7.83,658,421,260,30,45,29,2.2,0,256,67,40,3,0.79,0,0.79,-1
184,Beed,Patoda,18.867,75.467,7.63,1445,925,430,58,69,91,10.7,0,458,142,82,46,0.46,0.1,1.92,-1.1
185,Beed,Parli,18.85,76.533,7.87,1086,695,410,72,56,47,1.9,0,256,99,159,25,0.64,0.16,1.01,-4
186,Beed,Pali,18.915,75.747,7.73,684,438,260,24,49,37,0.3,0,354,21,29,14,0.66,0,0.99,0.6
187,Beed,Bhend Takli,19.217,75.922,7.98,545,349,215,38,29,21,1.4,0,214,25,54,16,1.03,0,0.64,-0.8
188,Beed,Dharmapuri,18.733,76.644,8,495,317,195,28,30,25,0.5,0,232,18,34,27,0.93,0,0.77,-0.1
189,Beed,Sirur,19.057,75.431,8.04,1787,1144,340,54,50,236,7.1,0,372,149,249,13,0.92,0.29,5.55,-0.7
190,Beed,Patrud-1,19.1,76.213,7.98,910,582,270,32,46,77,1.5,0,354,43,42,82,1.4,0.68,2.03,0.4
191,Beed,Saigaon-1,18.667,76.422,7.84,992,635,345,60,47,44,1.5,0,232,99,80,79,0.73,0,1.03,-3.1
192,Beed,Dharur-1,18.799,76.109,8.11,628,402,205,32,30,49,1,0,287,32,42,16,1.84,0.05,1.5,0.6
193,Beed,Nandur Phata,18.776,75.846,7.64,993,635,340,32,63,51,2.5,0,305,85,63,71,0.92,0.23,1.21,-1.8
194,Beed,Waguli,18.795,76.195,7.84,1115,714,210,30,33,95,2.1,0,293,92,24,81,1.26,0.2,2.85,0.6
195,Beed,Kinhi,18.902,75.181,7.84,984,630,340,36,61,48,8.3,0,299,78,55,84,0.98,0.5,1.13,-1.9
196,Beed,Jirewadi-1,19.017,75.758,7.89,2882,1844,360,24,73,357,9.7,0,525,326,222,85,0.93,1.43,8.18,1.4
